number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
71,0.24106380343437195,2023-09-05 16:01:53.713968,2023-09-05 16:01:54.259428,0 days 00:00:00.545460,Leaky,ReLU,,,,37,21,16.0,,,,0.006541121467732235,2,213,0.647149253129808,9.391682683280126e-05,344.88574848477805,COMPLETE
72,0.2454480230808258,2023-09-05 16:01:54.259679,2023-09-05 16:01:54.838155,0 days 00:00:00.578476,Leaky,ReLU,,,,37,23,18.0,,,,0.003946759473270974,2,189,0.5816058566875203,6.651373373781006e-05,993.63005859375,COMPLETE
73,0.23708592355251312,2023-09-05 16:01:54.838400,2023-09-05 16:01:55.481389,0 days 00:00:00.642989,Leaky,ReLU,,,,50,23,18.0,,,,0.0032311038298742023,2,192,0.590229324061609,6.518073377438031e-05,649.2456817626953,COMPLETE
74,0.22747930884361267,2023-09-05 16:01:55.481641,2023-09-05 16:01:55.896063,0 days 00:00:00.414422,Leaky,ReLU,,,,41,23,18.0,,,,0.004112865482304262,2,192,0.6836407009966674,6.0029344186583643e-05,249.22579924914302,COMPLETE
75,0.2835272252559662,2023-09-05 16:01:55.896320,2023-09-05 16:01:56.719655,0 days 00:00:00.823335,Leaky,ReLU,,,,40,24,20.0,,,,0.0022215036011033495,2,253,0.6772220243098741,9.392799878006967e-05,178.74911955214037,COMPLETE
76,0.21067938208580017,2023-09-05 16:01:56.719904,2023-09-05 16:01:57.471378,0 days 00:00:00.751474,Leaky,Tanh,,,,52,23,17.0,,,,0.0031702778590133067,2,236,0.7218631399959773,6.195969667312634e-05,213.42941613290824,COMPLETE
77,0.2034621685743332,2023-09-05 16:01:57.471621,2023-09-05 16:01:58.505329,0 days 00:00:01.033708,Leaky,Tanh,,,,50,23,19.0,,,,0.0028871513317154855,2,239,0.7217833494765019,3.274643585161636e-05,258.39486963608687,COMPLETE
78,0.21488280594348907,2023-09-05 16:01:58.505571,2023-09-05 16:01:59.599294,0 days 00:00:01.093723,Leaky,Tanh,,,,51,22,19.0,,,,0.0014699243278778857,2,237,0.7144912413153697,3.097688297906724e-05,239.95902373215247,COMPLETE
79,0.28241804242134094,2023-09-05 16:01:59.599544,2023-09-05 16:02:00.294099,0 days 00:00:00.694555,Leaky,,,,,52,23,,,,,0.0019451652590588351,1,292,0.789560113968836,1.4727945805982485e-05,816.7491932994915,COMPLETE
80,0.2907465100288391,2023-09-05 16:02:00.294341,2023-09-05 16:02:00.981790,0 days 00:00:00.687449,Leaky,Tanh,Tanh,,,45,22,17.0,17.0,,,0.0014521037188946432,3,240,0.7034290619299165,2.2919681710652357e-05,246.38833491007486,COMPLETE
81,0.24047397077083588,2023-09-05 16:02:00.982053,2023-09-05 16:02:01.660630,0 days 00:00:00.678577,Leaky,Tanh,,,,55,24,19.0,,,,0.0029578008188744826,2,233,0.7376205871804916,2.7218069741193434e-05,306.9017173012534,COMPLETE
82,0.21305488049983978,2023-09-05 16:02:01.660940,2023-09-05 16:02:02.122205,0 days 00:00:00.461265,Leaky,Tanh,,,,48,22,19.0,,,,0.004275369415728026,2,281,0.6848229313068294,2.023004476618948e-05,494.05301361083986,COMPLETE
83,0.20445756614208221,2023-09-05 16:02:02.122450,2023-09-05 16:02:03.058330,0 days 00:00:00.935880,Leaky,Tanh,,,,42,22,17.0,,,,0.0026236959962066104,2,286,0.7012456541200754,3.210213333920892e-05,186.94596106605192,COMPLETE
84,0.2529667913913727,2023-09-05 16:02:03.058591,2023-09-05 16:02:03.990952,0 days 00:00:00.932361,Leaky,Tanh,,,,43,22,15.0,,,,0.002678171998968928,2,282,0.6984162940355333,3.4390359036725393e-05,231.82277470141386,COMPLETE
85,0.3233620226383209,2023-09-05 16:02:03.991217,2023-09-05 16:02:04.381272,0 days 00:00:00.390055,Leaky,Tanh,,,,41,22,17.0,,,,0.0039001413924266305,2,265,0.6208024563708265,1.2713337266839638e-05,231.7274676513672,COMPLETE
86,0.28143036365509033,2023-09-05 16:02:04.381528,2023-09-05 16:02:05.223338,0 days 00:00:00.841810,Leaky,Tanh,,,,47,23,20.0,,,,0.0016938710168457655,2,303,0.7340727082316968,3.4145369407089356e-05,288.8433645303967,COMPLETE
87,0.25593239068984985,2023-09-05 16:02:05.223596,2023-09-05 16:02:05.792517,0 days 00:00:00.568921,Leaky,Tanh,,,,35,21,15.0,,,,0.00496414441512223,2,326,0.7975108886196759,1.9723239578542596e-05,135.94263751690204,COMPLETE
88,0.25884100794792175,2023-09-05 16:02:05.792778,2023-09-05 16:02:06.638040,0 days 00:00:00.845262,Leaky,Tanh,Sigmoid,,,60,20,18.0,19.0,,,0.002288603020503909,3,246,0.6593160633336936,1.9121829934282728e-05,277.0170398940388,COMPLETE
89,0.21034763753414154,2023-09-05 16:02:06.638300,2023-09-05 16:02:07.622684,0 days 00:00:00.984384,Leaky,Tanh,,,,52,22,20.0,,,,0.003666205528359404,2,264,0.6898153027111134,2.8610961650245524e-05,311.1284574684522,COMPLETE
90,0.20547014474868774,2023-09-05 16:02:07.622933,2023-09-05 16:02:08.295896,0 days 00:00:00.672963,Leaky,Tanh,,,,53,23,20.0,,,,0.0034995580249784536,2,265,0.7142639785392171,2.3911756724121626e-05,234.69317912007426,COMPLETE
91,0.21871933341026306,2023-09-05 16:02:08.296153,2023-09-05 16:02:09.002983,0 days 00:00:00.706830,Leaky,Tanh,,,,50,23,20.0,,,,0.003469042795777365,2,265,0.6886268964653057,2.5251225301566604e-05,376.811255071581,COMPLETE
92,0.2220453917980194,2023-09-05 16:02:09.003236,2023-09-05 16:02:09.732785,0 days 00:00:00.729549,Leaky,Tanh,,,,52,22,20.0,,,,0.003073236200260351,2,259,0.7452066029593872,3.069910246993913e-05,294.5445537366365,COMPLETE
93,0.2371140569448471,2023-09-05 16:02:09.733046,2023-09-05 16:02:10.489819,0 days 00:00:00.756773,Leaky,Tanh,,,,53,22,20.0,,,,0.00333576240842163,2,262,0.7545833899499921,2.7766724410267498e-05,406.14124998754386,COMPLETE
94,0.2187265157699585,2023-09-05 16:02:10.490072,2023-09-05 16:02:11.229377,0 days 00:00:00.739305,Leaky,Tanh,,,,51,22,21.0,,,,0.0027059041029121227,2,287,0.7084553503032736,1.5744703420026247e-05,278.31176697381653,COMPLETE
95,0.25713810324668884,2023-09-05 16:02:11.229630,2023-09-05 16:02:12.616450,0 days 00:00:01.386820,Leaky,Tanh,,,,49,24,21.0,,,,0.0012660627452175416,2,278,0.7055234218526595,1.2885161727866104e-05,331.51031145842177,COMPLETE
96,0.2791973650455475,2023-09-05 16:02:12.616712,2023-09-05 16:02:13.198479,0 days 00:00:00.581767,Leaky,,,,,56,23,,,,,0.0025797049772724955,1,291,0.642617700011027,1.6607543446898006e-05,273.7092326028006,COMPLETE
97,0.21576879918575287,2023-09-05 16:02:13.198730,2023-09-05 16:02:14.817682,0 days 00:00:01.618952,Leaky,Tanh,,,,51,21,21.0,,,,0.0015600506170657235,2,343,0.7183938595637516,2.155533578014708e-05,281.50661126252646,COMPLETE
98,0.2244701236486435,2023-09-05 16:02:14.817948,2023-09-05 16:02:15.803930,0 days 00:00:00.985982,Leaky,Tanh,,,,47,20,17.0,,,,0.0016248395842715544,2,344,0.6182658515904765,2.085087623088362e-05,255.67818628598565,COMPLETE
99,0.24950248003005981,2023-09-05 16:02:15.804189,2023-09-05 16:02:17.152442,0 days 00:00:01.348253,Leaky,Tanh,,,,45,21,22.0,,,,0.0020389242462518554,2,391,0.6720211343285777,2.646265950934575e-05,220.53777876767245,COMPLETE
