number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
74,0.3228968381881714,2023-09-05 14:38:13.797771,2023-09-05 14:38:14.091395,0 days 00:00:00.293624,Tanh,ReLU,ReLU,,,53,19,23.0,10.0,,,0.02073347551202674,3,165,0.6452213881622103,2.8127143839766832e-05,254.16457663642035,COMPLETE
75,0.34020093083381653,2023-09-05 14:38:14.091668,2023-09-05 14:38:14.754202,0 days 00:00:00.662534,Sigmoid,Tanh,Tanh,Leaky,,59,16,20.0,11.0,9.0,,0.006678159819246963,4,146,0.7108087532373714,2.1848733237501516e-05,185.2238241744368,COMPLETE
76,0.30134063959121704,2023-09-05 14:38:14.754480,2023-09-05 14:38:15.323282,0 days 00:00:00.568802,Tanh,Tanh,ReLU,,,31,13,16.0,13.0,,,0.004670196577259913,3,192,0.5952740913049973,4.5050745118343535e-05,130.47155214705558,COMPLETE
77,0.23163989186286926,2023-09-05 14:38:15.323553,2023-09-05 14:38:16.066498,0 days 00:00:00.742945,Tanh,ReLU,Sigmoid,Sigmoid,,36,17,18.0,17.0,18.0,,0.0148219528763909,4,209,0.7981647821680568,1.1700498213165767e-05,279.0027391022327,COMPLETE
78,0.32701587677001953,2023-09-05 14:38:16.066782,2023-09-05 14:38:16.475617,0 days 00:00:00.408835,Tanh,Tanh,ReLU,Sigmoid,,26,17,17.0,15.0,18.0,,0.015158076870483985,4,334,0.6738676628698317,1.1655736690629871e-05,391.1255003611247,COMPLETE
79,0.32670220732688904,2023-09-05 14:38:16.475894,2023-09-05 14:38:17.144636,0 days 00:00:00.668742,Tanh,ReLU,ReLU,Sigmoid,,34,20,19.0,19.0,17.0,,0.008070752656819913,4,118,0.7356963014704462,1.3251651717426938e-05,134.66177530491606,COMPLETE
80,0.35578495264053345,2023-09-05 14:38:17.144922,2023-09-05 14:38:17.438970,0 days 00:00:00.294048,ReLU,Tanh,ReLU,Sigmoid,,37,18,15.0,17.0,21.0,,0.02325108889409128,4,208,0.623939381648608,1.895543253872293e-05,640.9379450480143,COMPLETE
81,0.3259128928184509,2023-09-05 14:38:17.439252,2023-09-05 14:38:18.031361,0 days 00:00:00.592109,Tanh,ReLU,Sigmoid,Sigmoid,,43,21,18.0,18.0,3.0,,0.01124272060573997,4,221,0.7987158314951643,1.0004674791547901e-05,353.93620632005775,COMPLETE
82,0.6154394149780273,2023-09-05 14:38:18.031650,2023-09-05 14:38:18.467647,0 days 00:00:00.435997,Tanh,ReLU,Sigmoid,,,38,19,22.0,1.0,,,0.017342598910456232,3,244,0.750738211100326,3.131163607816592e-05,196.2823403848184,COMPLETE
83,0.2587372064590454,2023-09-05 14:38:18.467940,2023-09-05 14:38:18.961394,0 days 00:00:00.493454,Tanh,ReLU,Sigmoid,Tanh,,49,23,21.0,9.0,15.0,,0.03133254834089883,4,259,0.7024083002848376,6.427651604646846e-05,283.9796720464179,COMPLETE
