number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
73,0.16431927680969238,2023-08-31 23:17:18.397327,2023-08-31 23:17:58.012702,0 days 00:00:39.615375,Leaky,Leaky,Leaky,ReLU,Sigmoid,4,9,21.0,8.0,12.0,12.0,0.002102266463335602,5,100,0.7109070288061383,1.8895011467288525e-05,COMPLETE
74,0.19821371138095856,2023-08-31 23:17:58.013002,2023-08-31 23:18:59.721582,0 days 00:01:01.708580,Leaky,Leaky,Leaky,ReLU,Sigmoid,2,9,16.0,12.0,12.0,11.0,0.002209729974347278,5,100,0.5536822560178873,4.740286626498371e-05,COMPLETE
75,0.20821207761764526,2023-08-31 23:18:59.721877,2023-08-31 23:19:20.652393,0 days 00:00:20.930516,Leaky,Leaky,Leaky,ReLU,Sigmoid,4,9,19.0,9.0,14.0,15.0,0.0037567180135842965,5,60,0.6123041877907837,2.7373074290527167e-05,COMPLETE
76,0.25093281269073486,2023-08-31 23:19:20.652685,2023-08-31 23:19:31.812140,0 days 00:00:11.159455,Leaky,Leaky,Leaky,ReLU,Sigmoid,16,7,20.0,17.0,11.0,8.0,0.0014126863559037585,5,100,0.7602189975827098,1.8423458594927105e-05,COMPLETE
77,0.248596653342247,2023-08-31 23:19:31.812433,2023-08-31 23:19:37.605025,0 days 00:00:05.792592,Sigmoid,Tanh,Leaky,Sigmoid,Sigmoid,30,19,21.0,13.0,13.0,21.0,0.002728167016230453,5,100,0.6750917128866558,7.693610371100323e-05,COMPLETE
78,0.23788844048976898,2023-08-31 23:19:37.605323,2023-08-31 23:19:54.370101,0 days 00:00:16.764778,Leaky,Leaky,Leaky,ReLU,Leaky,10,7,23.0,5.0,16.0,9.0,0.005536978873991988,5,100,0.7105397483598294,5.761526744421155e-05,COMPLETE
79,0.1950032114982605,2023-08-31 23:19:54.370395,2023-08-31 23:20:07.523198,0 days 00:00:13.152803,Tanh,Leaky,Tanh,Tanh,,8,11,13.0,10.0,15.0,,0.009199755681546384,4,80,0.6449689500101543,2.1979008190945803e-05,COMPLETE
80,0.19222517311573029,2023-08-31 23:20:07.523484,2023-08-31 23:20:41.894782,0 days 00:00:34.371298,Leaky,Sigmoid,Leaky,Leaky,Tanh,4,18,18.0,11.0,18.0,16.0,0.006518859377123755,5,100,0.5890300935766458,4.0687588270083876e-05,COMPLETE
81,0.2159828245639801,2023-08-31 23:20:41.895074,2023-08-31 23:21:13.710074,0 days 00:00:31.815000,Leaky,Leaky,Leaky,,,4,10,22.0,8.0,,,0.0016743646531840483,3,100,0.7163293342090318,1.2654345460595658e-05,COMPLETE
82,0.21542668342590332,2023-08-31 23:21:13.710516,2023-08-31 23:21:49.470439,0 days 00:00:35.759923,Leaky,Leaky,Leaky,,,4,14,24.0,7.0,,,0.0007780039818281885,3,100,0.7711347797138088,1.0266066390943918e-05,COMPLETE
