number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
62,0.185036301612854,2023-09-01 23:50:58.316031,2023-09-01 23:51:03.146471,0 days 00:00:04.830440,Leaky,Leaky,,,,,12,11,18.0,,,,,0.002118888552772864,2,80,0.6832521812209533,0.0003834457478958958,COMPLETE
63,0.16675502061843872,2023-09-01 23:51:03.146726,2023-09-01 23:51:18.841029,0 days 00:00:15.694303,Leaky,Leaky,,,,,4,8,21.0,,,,,0.004842645835198014,2,80,0.7939847351659973,0.000208486585184811,COMPLETE
64,0.1941651999950409,2023-09-01 23:51:18.841295,2023-09-01 23:51:47.491482,0 days 00:00:28.650187,Leaky,Leaky,,,,,2,10,20.0,,,,,0.003163923877328481,2,80,0.7400291563755103,0.0006304844892768415,COMPLETE
65,0.20941105484962463,2023-09-01 23:51:47.491744,2023-09-01 23:51:51.757752,0 days 00:00:04.266008,Leaky,,,,,,10,13,,,,,,0.0062713791814411205,1,80,0.655074830863229,0.0012360992980069594,COMPLETE
66,0.2161685824394226,2023-09-01 23:51:51.758006,2023-09-01 23:51:57.603968,0 days 00:00:05.845962,Sigmoid,Leaky,,,,,10,12,17.0,,,,,0.0024423404429961214,2,80,0.6961159319479527,0.0002407843674368666,COMPLETE
67,0.2575143873691559,2023-09-01 23:51:57.604223,2023-09-01 23:52:01.331087,0 days 00:00:03.726864,Leaky,Sigmoid,Tanh,,,,8,11,23.0,14.0,,,,0.001545783177660565,3,40,0.5769012036162257,0.0003459474569270274,COMPLETE
68,0.20787835121154785,2023-09-01 23:52:01.331361,2023-09-01 23:52:04.810986,0 days 00:00:03.479625,ReLU,Leaky,,,,,16,9,15.0,,,,,0.004126718277039857,2,80,0.630080074119922,0.0001082182863425584,COMPLETE
69,0.18188388645648956,2023-09-01 23:52:04.811245,2023-09-01 23:52:12.306184,0 days 00:00:07.494939,Leaky,Leaky,Leaky,,,,10,13,1.0,16.0,,,,0.007566456216085092,3,80,0.7462150518475933,0.0004933756830621579,COMPLETE
70,0.17309951782226562,2023-09-01 23:52:12.306455,2023-09-01 23:52:16.210329,0 days 00:00:03.903874,Leaky,Leaky,Leaky,,,,12,8,19.0,23.0,,,,0.0018682002200451028,3,60,0.5978060526634452,0.0007832366932083847,COMPLETE
71,0.19375498592853546,2023-09-01 23:52:16.210606,2023-09-01 23:52:31.959770,0 days 00:00:15.749164,Leaky,Leaky,,,,,4,5,21.0,,,,,0.005023213938235168,2,80,0.7972413873138372,0.00023416934184750636,COMPLETE
72,0.17331600189208984,2023-09-01 23:52:31.960041,2023-09-01 23:52:47.803343,0 days 00:00:15.843302,Leaky,Leaky,,,,,4,8,22.0,,,,,0.004392663960385791,2,80,0.7987038482836755,0.0002021014951281753,COMPLETE
73,0.16700635850429535,2023-09-01 23:52:47.803623,2023-09-01 23:53:02.809120,0 days 00:00:15.005497,Leaky,Leaky,,,,,4,10,20.0,,,,,0.0028327032200297577,2,80,0.7554775779200676,0.0003400492191883214,COMPLETE
74,0.21053138375282288,2023-09-01 23:53:02.809380,2023-09-01 23:53:13.493902,0 days 00:00:10.684522,Leaky,,,,,,4,23,,,,,,0.006290813804042338,1,80,0.6999799925826533,0.00012714089100105273,COMPLETE
75,0.15578892827033997,2023-09-01 23:53:13.494155,2023-09-01 23:53:20.547112,0 days 00:00:07.052957,Leaky,Leaky,,,,,8,11,23.0,,,,,0.0013706003269094178,2,80,0.683097423132768,0.000493310390400431,COMPLETE
76,0.18395958840847015,2023-09-01 23:53:20.547387,2023-09-01 23:53:28.686397,0 days 00:00:08.139010,Leaky,Leaky,Leaky,,,,8,12,17.0,12.0,,,,0.0014198706185687062,3,80,0.6476757534624208,0.0005849492490538853,COMPLETE
77,0.19841155409812927,2023-09-01 23:53:28.686667,2023-09-01 23:53:34.216905,0 days 00:00:05.530238,Leaky,Leaky,,,,,8,11,23.0,,,,,0.0009010929240979436,2,80,0.5347190375552237,0.00095146415251533,COMPLETE
78,0.16565856337547302,2023-09-01 23:53:34.217173,2023-09-01 23:53:45.189514,0 days 00:00:10.972341,Tanh,ReLU,Tanh,,,,8,13,5.0,21.0,,,,0.0012449620100592814,3,100,0.6917026127545186,0.0004763688269681458,COMPLETE
79,0.22283251583576202,2023-09-01 23:53:45.189781,2023-09-01 23:53:50.948198,0 days 00:00:05.758417,Leaky,,,,,,8,11,,,,,,0.0023065140197718317,1,80,0.7275040814480923,0.0011207894000800152,COMPLETE
80,0.225849911570549,2023-09-01 23:53:50.948453,2023-09-01 23:54:02.223050,0 days 00:00:11.274597,Sigmoid,Leaky,,,,,2,10,18.0,,,,,0.0016735229005128657,2,40,0.5787280339235678,0.0007539337363087402,COMPLETE
