number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
64,0.1995968073606491,2023-09-01 23:04:59.848263,2023-09-01 23:05:04.540969,0 days 00:00:04.692706,Tanh,8,13,0.028669563583120294,1,60,0.7999862371194715,0.00010842791878755707,COMPLETE
65,0.20708546042442322,2023-09-01 23:05:04.541219,2023-09-01 23:05:08.721170,0 days 00:00:04.179951,Tanh,8,18,0.019638357999762657,1,60,0.7141715820330203,4.8818252222961185e-05,COMPLETE
66,0.2035204917192459,2023-09-01 23:05:08.721421,2023-09-01 23:05:12.406066,0 days 00:00:03.684645,Tanh,8,11,0.01415154377755647,1,60,0.627818125900446,6.483444617301509e-05,COMPLETE
67,0.23349007964134216,2023-09-01 23:05:12.406317,2023-09-01 23:05:16.447976,0 days 00:00:04.041659,Tanh,8,12,0.03366500117348726,1,60,0.6914834798738777,3.904486480674919e-05,COMPLETE
68,0.22086524963378906,2023-09-01 23:05:16.448216,2023-09-01 23:05:19.156704,0 days 00:00:02.708488,Leaky,10,16,0.023453811149069474,1,60,0.5674811948972132,2.081452647793786e-05,COMPLETE
69,0.3305297791957855,2023-09-01 23:05:19.156950,2023-09-01 23:05:35.498403,0 days 00:00:16.341453,Tanh,2,22,0.061008163888419786,1,60,0.7523815327549455,2.847551305769239e-05,COMPLETE
70,0.20824691653251648,2023-09-01 23:05:35.498647,2023-09-01 23:05:40.202773,0 days 00:00:04.704126,Tanh,8,17,0.04064867612129423,1,80,0.6048452618256199,0.00013553041243367188,COMPLETE
71,0.2111537754535675,2023-09-01 23:05:40.203012,2023-09-01 23:05:43.989700,0 days 00:00:03.786688,Tanh,8,15,0.009183812798624203,1,60,0.6472742965956086,1.2720797917588725e-05,COMPLETE
72,0.1868920624256134,2023-09-01 23:05:43.989942,2023-09-01 23:05:47.942290,0 days 00:00:03.952348,Tanh,8,14,0.01699156762631431,1,60,0.6794633255110496,1.2512124312743235e-05,COMPLETE
73,0.19614751636981964,2023-09-01 23:05:47.942541,2023-09-01 23:05:51.960728,0 days 00:00:04.018187,Tanh,8,13,0.01561216913831387,1,60,0.688776228665342,1.852801855083057e-05,COMPLETE
74,0.23695002496242523,2023-09-01 23:05:51.960969,2023-09-01 23:05:56.325165,0 days 00:00:04.364196,Tanh,8,14,0.011447261060518913,1,60,0.7503265408017944,2.8241889887755403e-05,COMPLETE
75,0.2074141949415207,2023-09-01 23:05:56.325405,2023-09-01 23:05:59.850267,0 days 00:00:03.524862,Tanh,8,16,0.020029628248968104,1,60,0.6029445314613435,1.3028239356674658e-05,COMPLETE
76,0.1822301745414734,2023-09-01 23:05:59.850516,2023-09-01 23:06:01.368177,0 days 00:00:01.517661,Sigmoid,30,15,0.02946504251227748,1,60,0.7978351393893087,4.434280287154468e-05,COMPLETE
77,0.21664266288280487,2023-09-01 23:06:01.368417,2023-09-01 23:06:02.211948,0 days 00:00:00.843531,Sigmoid,30,17,0.031253579925955684,1,40,0.6583179873381988,2.2831895934418128e-05,COMPLETE
78,0.21907417476177216,2023-09-01 23:06:02.212191,2023-09-01 23:06:03.725341,0 days 00:00:01.513150,Sigmoid,30,10,0.006384037559677127,1,60,0.7977571788366892,3.384704566795601e-05,COMPLETE
79,0.23044010996818542,2023-09-01 23:06:03.725584,2023-09-01 23:06:05.483408,0 days 00:00:01.757824,Sigmoid,30,12,0.007879192612882061,1,80,0.699699835469702,1.831540436117369e-05,COMPLETE
80,0.20861919224262238,2023-09-01 23:06:05.483648,2023-09-01 23:06:06.484891,0 days 00:00:01.001243,Sigmoid,30,13,0.0425976654862336,1,60,0.5189186909048894,1.2757151400973125e-05,COMPLETE
