number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
103,0.20445597171783447,2023-09-01 23:10:27.040949,2023-09-01 23:10:34.181286,0 days 00:00:07.140337,Sigmoid,,8,21,,0.034000266832242027,1,100,0.7251418114622289,3.7212093631056164e-05,COMPLETE
104,0.19096241891384125,2023-09-01 23:10:34.181560,2023-09-01 23:10:41.704693,0 days 00:00:07.523133,Sigmoid,,8,23,,0.015134783359715943,1,100,0.7640806283251235,6.359981668938537e-05,COMPLETE
105,0.20950216054916382,2023-09-01 23:10:41.704955,2023-09-01 23:10:47.897330,0 days 00:00:06.192375,Sigmoid,,8,24,,0.02549353995082138,1,100,0.6347855196518484,3.408587531273766e-05,COMPLETE
106,0.2102157026529312,2023-09-01 23:10:47.897587,2023-09-01 23:10:53.545245,0 days 00:00:05.647658,Sigmoid,,10,20,,0.018531646749885243,1,100,0.7001664090273679,2.0646551654501053e-05,COMPLETE
107,0.18977726995944977,2023-09-01 23:10:53.545515,2023-09-01 23:10:55.601988,0 days 00:00:02.056473,ReLU,,30,23,,0.008172030697103377,1,80,0.7988779148976112,1.4651427872965756e-05,COMPLETE
108,0.20063361525535583,2023-09-01 23:10:55.602244,2023-09-01 23:11:09.725577,0 days 00:00:14.123333,Sigmoid,,4,15,,0.022933478925774717,1,100,0.7544971987853675,4.494590649178096e-05,COMPLETE
109,0.19735974073410034,2023-09-01 23:11:09.725837,2023-09-01 23:11:16.358770,0 days 00:00:06.632933,Sigmoid,,8,19,,0.02885988308645634,1,100,0.6746440559483353,2.4897700397745327e-05,COMPLETE
110,0.18512392044067383,2023-09-01 23:11:16.359025,2023-09-01 23:11:18.680914,0 days 00:00:02.321889,Sigmoid,,16,22,,0.04013260030549308,1,60,0.7261893695728813,1.9745273306432087e-05,COMPLETE
111,0.18757416307926178,2023-09-01 23:11:18.681169,2023-09-01 23:11:25.107400,0 days 00:00:06.426231,Sigmoid,,8,22,,0.011691135789553948,1,100,0.6562809905557773,2.7437446800374498e-05,COMPLETE
112,0.19833438098430634,2023-09-01 23:11:25.107660,2023-09-01 23:11:31.771557,0 days 00:00:06.663897,Sigmoid,,8,24,,0.00984177692525042,1,100,0.6783946701262757,3.091754432132114e-05,COMPLETE
113,0.18809346854686737,2023-09-01 23:11:31.771815,2023-09-01 23:11:37.790460,0 days 00:00:06.018645,Sigmoid,,8,21,,0.016002970589322076,1,100,0.6128927204210588,5.57114062819559e-05,COMPLETE
114,0.20277994871139526,2023-09-01 23:11:37.790714,2023-09-01 23:11:45.287796,0 days 00:00:07.497082,Sigmoid,,8,22,,0.01261956915354638,1,100,0.7692571519384139,2.5540966586359644e-05,COMPLETE
115,0.20902255177497864,2023-09-01 23:11:45.288051,2023-09-01 23:11:58.651090,0 days 00:00:13.363039,Sigmoid,,4,23,,0.02050604083731899,1,100,0.7151094019990029,4.299178112512566e-05,COMPLETE
116,0.19126711785793304,2023-09-01 23:11:58.651355,2023-09-01 23:12:05.843570,0 days 00:00:07.192215,Sigmoid,,8,20,,0.00603032430154446,1,100,0.7358874195555021,1.729427662634826e-05,COMPLETE
117,0.3726733922958374,2023-09-01 23:12:05.843830,2023-09-01 23:12:10.867267,0 days 00:00:05.023437,Sigmoid,,4,2,,0.06986568683576314,1,40,0.6824391568883666,3.274390596931992e-05,COMPLETE
118,0.177132710814476,2023-09-01 23:12:10.867528,2023-09-01 23:12:18.645047,0 days 00:00:07.777519,Sigmoid,,8,21,,0.01040962051803845,1,100,0.7989534751536255,2.1383966273627272e-05,COMPLETE
119,0.15226875245571136,2023-09-01 23:12:18.645309,2023-09-01 23:12:25.038705,0 days 00:00:06.393396,Sigmoid,,10,21,,0.008109328559395394,1,100,0.7989606017292386,1.2110638186045818e-05,COMPLETE
120,0.1796116977930069,2023-09-01 23:12:25.038966,2023-09-01 23:12:33.301063,0 days 00:00:08.262097,Tanh,Tanh,10,20,17.0,0.006890908985925131,2,100,0.7973989483413765,2.0184725074092186e-05,COMPLETE
121,0.1838466078042984,2023-09-01 23:12:33.301327,2023-09-01 23:12:38.481206,0 days 00:00:05.179879,Sigmoid,,12,21,,0.008052212929774549,1,100,0.7639141148145988,1.237972479910795e-05,COMPLETE
122,0.18850116431713104,2023-09-01 23:12:38.481461,2023-09-01 23:12:44.564580,0 days 00:00:06.083119,Sigmoid,,10,21,,0.01032556885395063,1,100,0.7623585250619238,1.4997483636537794e-05,COMPLETE
