number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
82,0.13554739952087402,2023-08-31 19:43:08.863603,2023-08-31 19:43:40.646289,0 days 00:00:31.782686,Tanh,Tanh,Tanh,ReLU,,4,9,19.0,10.0,19.0,,0.002264922882348573,4,40,0.6873460590507784,0.00010378530160010329,COMPLETE
83,0.1392776072025299,2023-08-31 19:43:40.646778,2023-08-31 19:44:15.946135,0 days 00:00:35.299357,Tanh,Tanh,Tanh,ReLU,,4,12,17.0,9.0,19.0,,0.0035576229865463,4,40,0.7608553717281067,6.667720147472221e-05,COMPLETE
84,0.08299705386161804,2023-08-31 19:44:15.946631,2023-08-31 19:44:48.249260,0 days 00:00:32.302629,Tanh,Tanh,Tanh,ReLU,,4,9,18.0,12.0,17.0,,0.005189683803536851,4,40,0.698326135084914,0.00011101687814907397,COMPLETE
85,0.15416528284549713,2023-08-31 19:44:48.249740,2023-08-31 19:45:21.246965,0 days 00:00:32.997225,Tanh,Tanh,Tanh,ReLU,,4,7,16.0,13.0,21.0,,0.004991908635153999,4,40,0.7058141048365797,0.00011809576562355445,COMPLETE
86,0.1547975242137909,2023-08-31 19:45:21.247448,2023-08-31 19:45:48.643416,0 days 00:00:27.395968,Tanh,Tanh,Tanh,ReLU,,4,9,18.0,14.0,15.0,,0.0027362601260355873,4,40,0.5908127530196242,8.348791247270801e-05,COMPLETE
87,0.16286902129650116,2023-08-31 19:45:48.643912,2023-08-31 19:46:18.056423,0 days 00:00:29.412511,Tanh,Tanh,Tanh,ReLU,,4,5,17.0,12.0,18.0,,0.0016628437914051066,4,40,0.6329108953794692,0.00017110526179199708,COMPLETE
88,0.1049371212720871,2023-08-31 19:46:18.056902,2023-08-31 19:47:36.951999,0 days 00:01:18.895097,Tanh,ReLU,Tanh,ReLU,,4,10,15.0,16.0,20.0,,0.006267897793295148,4,100,0.6711875382873597,0.00011252057815021943,COMPLETE
89,0.18003877997398376,2023-08-31 19:47:36.952485,2023-08-31 19:48:55.861297,0 days 00:01:18.908812,Tanh,ReLU,Tanh,ReLU,,4,10,15.0,16.0,23.0,,0.0018205816570375727,4,100,0.6646036497780555,0.00021857951054778774,COMPLETE
90,0.1268261969089508,2023-08-31 19:48:55.861803,2023-08-31 19:50:05.285949,0 days 00:01:09.424146,Tanh,ReLU,Tanh,ReLU,,4,10,13.0,14.0,20.0,,0.002447216632116959,4,100,0.5906385514684784,0.00012440904219195294,COMPLETE
91,0.11953110992908478,2023-08-31 19:50:05.286439,2023-08-31 19:51:14.917963,0 days 00:01:09.631524,Tanh,ReLU,Tanh,ReLU,,4,10,14.0,16.0,20.0,,0.0032875079520259857,4,100,0.5874437637798121,0.00012962408410178468,COMPLETE
