number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
99,0.09995504468679428,2023-09-02 12:42:42.226297,2023-09-02 12:42:48.730250,0 days 00:00:06.503953,Leaky,Tanh,12,21,24.0,0.002763512304059746,2,60,0.5758627739687053,1.1921132032093234e-05,COMPLETE
100,0.10780473053455353,2023-09-02 12:42:48.730521,2023-09-02 12:44:01.195289,0 days 00:01:12.464768,Leaky,Tanh,2,20,21.0,0.008331971440457756,2,100,0.7161361799057788,0.00013533114353255103,COMPLETE
101,0.0948047786951065,2023-09-02 12:44:01.195556,2023-09-02 12:44:22.042168,0 days 00:00:20.846612,Leaky,Tanh,8,17,22.0,0.004900257096773884,2,100,0.773074507115219,0.0002502085094852494,COMPLETE
102,0.09738519042730331,2023-09-02 12:44:22.042466,2023-09-02 12:44:43.105592,0 days 00:00:21.063126,Leaky,ReLU,8,16,23.0,0.004129709648733679,2,100,0.7758890512673402,6.74044925147149e-05,COMPLETE
103,0.10023611783981323,2023-09-02 12:44:43.105860,2023-09-02 12:45:02.700799,0 days 00:00:19.594939,ReLU,Tanh,8,18,24.0,0.0022188272314858015,2,100,0.7205390355185507,1.622154229171453e-05,COMPLETE
104,0.09279169887304306,2023-09-02 12:45:02.701072,2023-09-02 12:45:24.198658,0 days 00:00:21.497586,Leaky,Sigmoid,8,19,13.0,0.0035426949891765465,2,100,0.7973688058282459,0.0002981721972731114,COMPLETE
105,0.09680353105068207,2023-09-02 12:45:24.198930,2023-09-02 12:45:42.971874,0 days 00:00:18.772944,ReLU,Tanh,8,23,20.0,0.005331321502925685,2,100,0.6892133968915385,8.102574100502743e-05,COMPLETE
106,0.09935762733221054,2023-09-02 12:45:42.972144,2023-09-02 12:45:57.193079,0 days 00:00:14.220935,Leaky,Tanh,12,17,23.0,0.006273549011036396,2,100,0.7685070031274057,0.00011773601313407834,COMPLETE
107,0.10653942823410034,2023-09-02 12:45:57.193342,2023-09-02 12:46:07.606419,0 days 00:00:10.413077,Tanh,Sigmoid,8,18,18.0,0.0017658155539413765,2,60,0.6424503616436891,1.1587096205545857e-05,COMPLETE
108,0.17841821908950806,2023-09-02 12:46:07.606686,2023-09-02 12:46:37.422446,0 days 00:00:29.815760,ReLU,Tanh,4,2,14.0,0.0028406783413572087,2,80,0.7361675450770256,0.00015335487439711854,COMPLETE
109,0.09748443216085434,2023-09-02 12:46:37.422717,2023-09-02 12:46:41.304488,0 days 00:00:03.881771,Leaky,Tanh,16,16,19.0,0.0023116499387351446,2,40,0.6731355752647677,1.6384374721794248e-05,COMPLETE
110,0.10167337954044342,2023-09-02 12:46:41.304756,2023-09-02 12:46:57.441991,0 days 00:00:16.137235,Sigmoid,Sigmoid,8,20,21.0,0.004157400607506224,2,100,0.5992543618243534,9.680704936201304e-05,COMPLETE
111,0.09328344464302063,2023-09-02 12:46:57.442264,2023-09-02 12:47:18.921564,0 days 00:00:21.479300,Leaky,Sigmoid,8,19,13.0,0.003484276550314238,2,100,0.7976423450794152,0.0002856799918327011,COMPLETE
112,0.09733220189809799,2023-09-02 12:47:18.921836,2023-09-02 12:47:39.460065,0 days 00:00:20.538229,Leaky,Sigmoid,8,19,10.0,0.0036218977373165652,2,100,0.7659502925758265,0.00018548382444165127,COMPLETE
113,0.10182900726795197,2023-09-02 12:47:39.460326,2023-09-02 12:47:58.797922,0 days 00:00:19.337596,Leaky,Sigmoid,8,17,3.0,0.007321559258743334,2,100,0.7243569427834112,0.00022414098665062246,COMPLETE
114,0.10693871229887009,2023-09-02 12:47:58.798189,2023-09-02 12:48:20.131637,0 days 00:00:21.333448,Leaky,Sigmoid,8,18,14.0,0.0044195047304260455,2,100,0.7982884777649801,0.00042768883156665176,COMPLETE
115,0.090198814868927,2023-09-02 12:48:20.131905,2023-09-02 12:48:33.166790,0 days 00:00:13.034885,Leaky,ReLU,12,14,12.0,0.005514272431960192,2,100,0.7059426924367784,0.00029170901965442763,COMPLETE
116,0.09572432935237885,2023-09-02 12:48:33.167053,2023-09-02 12:48:46.191645,0 days 00:00:13.024592,ReLU,ReLU,12,15,22.0,0.005657250872988736,2,100,0.6928949626508043,0.00011927767659648076,COMPLETE
117,0.09832736104726791,2023-09-02 12:48:46.191912,2023-09-02 12:48:53.375785,0 days 00:00:07.183873,Leaky,ReLU,12,14,24.0,0.00929808305232208,2,60,0.6262081542410438,0.00015512130340282647,COMPLETE
