number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
79,0.318147212266922,2023-10-30 13:46:07.532811,2023-10-30 13:46:08.847465,0 days 00:00:01.314654,Leaky,,86,12,,0.02258289447939934,1,445,0.6809176360561756,4.750775342677003e-05,"tensor(0.3181, device='cuda:0')",COMPLETE
80,0.26658114790916443,2023-10-30 13:46:08.847855,2023-10-30 13:46:09.577784,0 days 00:00:00.729929,Leaky,Sigmoid,50,24,15.0,0.02833024937431255,2,186,0.7191845051298642,0.00012626389349957375,"tensor(0.2666, device='cuda:0')",COMPLETE
81,0.24393989145755768,2023-10-30 13:46:09.578180,2023-10-30 13:46:09.989306,0 days 00:00:00.411126,Leaky,Sigmoid,46,24,15.0,0.030045482460936277,2,174,0.7968340812429922,0.00013415553152262223,"tensor(0.2439, device='cuda:0')",COMPLETE
82,0.2807687520980835,2023-10-30 13:46:09.989699,2023-10-30 13:46:10.338082,0 days 00:00:00.348383,Leaky,Sigmoid,45,24,14.0,0.02659491620254174,2,197,0.7455191959458762,8.665001372364145e-05,"tensor(0.2808, device='cuda:0')",COMPLETE
83,0.3184293806552887,2023-10-30 13:46:10.338480,2023-10-30 13:46:10.990514,0 days 00:00:00.652034,Leaky,Sigmoid,45,23,14.0,0.03248084826717815,2,182,0.7943137881190507,0.00013846104799162395,"tensor(0.3184, device='cuda:0')",COMPLETE
84,0.29865095019340515,2023-10-30 13:46:10.990897,2023-10-30 13:46:11.552185,0 days 00:00:00.561288,Leaky,Sigmoid,42,24,13.0,0.025389523475835344,2,183,0.7302288805171196,5.4510622944946215e-05,"tensor(0.2987, device='cuda:0')",COMPLETE
85,0.38458314538002014,2023-10-30 13:46:11.552585,2023-10-30 13:46:12.143543,0 days 00:00:00.590958,Leaky,Sigmoid,50,23,14.0,0.02763632180760656,2,211,0.7464994138313419,8.128845496547979e-05,"tensor(0.3846, device='cuda:0')",COMPLETE
86,0.27300775051116943,2023-10-30 13:46:12.143937,2023-10-30 13:46:12.702597,0 days 00:00:00.558660,Leaky,Sigmoid,52,22,12.0,0.019585413898362287,2,166,0.7962706027273889,0.0002113922697560374,"tensor(0.2730, device='cuda:0')",COMPLETE
87,0.32730478048324585,2023-10-30 13:46:12.702976,2023-10-30 13:46:13.401540,0 days 00:00:00.698564,Leaky,Sigmoid,40,22,12.0,0.012333374046523288,2,147,0.7068483814928678,3.749468874464534e-05,"tensor(0.3273, device='cuda:0')",COMPLETE
88,0.23091883957386017,2023-10-30 13:46:13.401947,2023-10-30 13:46:14.207739,0 days 00:00:00.805792,Leaky,Sigmoid,55,24,11.0,0.01941360965566869,2,166,0.7810507984643222,0.00020540779735091517,"tensor(0.2309, device='cuda:0')",COMPLETE
89,0.4107102155685425,2023-10-30 13:46:14.208120,2023-10-30 13:46:14.698515,0 days 00:00:00.490395,Leaky,Sigmoid,47,24,11.0,0.01860519612445969,2,168,0.7649955961815681,0.00010413422351411022,"tensor(0.4107, device='cuda:0')",COMPLETE
