number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
729,0.15144048631191254,Sigmoid,Tanh,,93,245,14,19.0,,0.049406980587320244,2,0.6625334702359278,0.00022194993947480978,0.6140889525413513,0.15144048631191254,0.8622198700904846,COMPLETE
730,0.16737008094787598,Sigmoid,Tanh,,90,262,15,19.0,,0.0489275928088028,2,0.6651973795634233,0.0002043287632171966,0.6604182720184326,0.16737008094787598,0.8486204743385315,COMPLETE
731,0.2304629534482956,Sigmoid,Tanh,,92,225,14,19.0,,0.05127917004559667,2,0.4369849733473418,0.000256233566045994,2.0243899822235107,0.2304629534482956,0.7988697290420532,COMPLETE
732,0.20814014971256256,Sigmoid,Tanh,,89,242,14,20.0,,0.05942578089347326,2,0.6101214858858126,0.00031011721775009877,0.7707970142364502,0.20814014971256256,0.8184677958488464,COMPLETE
733,0.19754856824874878,Sigmoid,Tanh,,93,251,14,19.0,,0.0479050612341418,2,0.6430870176367276,0.00016855236891237234,0.6704303026199341,0.19754856824874878,0.8205841779708862,COMPLETE
734,0.15171268582344055,Sigmoid,Tanh,,94,228,15,20.0,,0.08208579641136782,2,0.665340449266897,0.00037973832868029724,0.7310264706611633,0.15171268582344055,0.8627819418907166,COMPLETE
735,0.2545084059238434,Sigmoid,Tanh,,91,231,15,20.0,,0.05656196096952948,2,0.6194510294510377,0.00022263569756880795,0.8127430081367493,0.2545084059238434,0.773140549659729,COMPLETE
736,0.159102663397789,Sigmoid,Tanh,,93,244,16,21.0,,0.059409101099333624,2,0.6638567317875713,0.00035110023118651554,0.6454215049743652,0.159102663397789,0.85582035779953,COMPLETE
737,0.19476279616355896,Sigmoid,Tanh,,92,242,16,22.0,,0.050521547901620514,2,0.5935196753061844,0.00031973658622846057,0.7615032196044922,0.19476279616355896,0.8302387595176697,COMPLETE
738,0.1637396663427353,Sigmoid,Tanh,,89,231,16,21.0,,0.0853718735686902,2,0.6596898894231195,0.0003774833417328904,0.7400301098823547,0.1637396663427353,0.851496696472168,COMPLETE
739,0.1956516057252884,Sigmoid,Tanh,,89,236,16,20.0,,0.09931959921290763,2,0.6319380246349043,0.00030336484118078066,0.7425963878631592,0.1956516057252884,0.8218936920166016,COMPLETE
740,0.3598655164241791,Sigmoid,Tanh,,89,208,16,22.0,,0.08356426286343727,2,0.30652228282095706,0.00024711845976816186,0.9369865655899048,0.3598655164241791,0.6794126033782959,COMPLETE
741,0.3019150495529175,Sigmoid,Tanh,,91,222,17,21.0,,0.0002511849270215881,2,0.46461476551842,0.00041195573877791393,1.3546247482299805,0.3019150495529175,0.73634934425354,COMPLETE
742,0.21192726492881775,Sigmoid,Tanh,,89,231,16,21.0,,0.08067568719830015,2,0.6733711918661279,0.00036793800293810034,1.652358889579773,0.21192726492881775,0.8069385290145874,COMPLETE
743,0.4076034426689148,Sigmoid,Tanh,,91,250,15,21.0,,0.0001051638194853162,2,0.3522452888782345,0.0001495813784379047,1.4919720888137817,0.4076034426689148,0.6564865708351135,COMPLETE
744,0.18577228486537933,Sigmoid,Tanh,,93,238,16,22.0,,0.06212350009123767,2,0.5698858064128947,0.00029303662796944916,0.7509447336196899,0.18577228486537933,0.8368281126022339,COMPLETE
