number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
57,0.17221996188163757,2023-10-31 17:47:14.064577,2023-10-31 17:47:14.310596,0 days 00:00:00.246019,ReLU,Sigmoid,,100,19,13.0,,0.013892180815666889,2,381,0.7012662693044207,0.0005356122649751854,91.55159941963528,tensor(0.1722),tensor(0.8402),COMPLETE
58,0.23386766016483307,2023-10-31 17:47:14.310960,2023-10-31 17:47:14.519887,0 days 00:00:00.208927,Leaky,Tanh,Sigmoid,39,21,23.0,5.0,0.05130370020774668,3,260,0.5923587175601329,0.0025555886166053433,154.6099884033203,tensor(0.2339),tensor(0.7838),COMPLETE
59,0.18293702602386475,2023-10-31 17:47:14.520298,2023-10-31 17:47:14.819521,0 days 00:00:00.299223,ReLU,ReLU,Sigmoid,47,22,10.0,14.0,0.028892921975341136,3,151,0.7408815468416737,0.00015697230118642808,82.8095280783517,tensor(0.1829),tensor(0.8286),COMPLETE
60,0.21882203221321106,2023-10-31 17:47:14.819913,2023-10-31 17:47:15.017077,0 days 00:00:00.197164,Leaky,Sigmoid,Tanh,86,20,19.0,15.0,0.019813775951543672,3,50,0.43431769613002025,0.00028165546024923874,127.83340679515491,tensor(0.2188),tensor(0.8069),COMPLETE
61,0.15439745783805847,2023-10-31 17:47:15.017459,2023-10-31 17:47:15.494510,0 days 00:00:00.477051,ReLU,ReLU,Tanh,45,24,18.0,10.0,0.010143827271615455,3,284,0.7275206563898684,0.0004684496357498512,65.6622549969217,tensor(0.1544),tensor(0.8534),COMPLETE
62,0.1444900780916214,2023-10-31 17:47:15.494875,2023-10-31 17:47:15.864850,0 days 00:00:00.369975,ReLU,ReLU,Tanh,57,24,20.0,12.0,0.010828481977508998,3,221,0.6772027620362233,0.00036388348372709897,75.62424781105734,tensor(0.1445),tensor(0.8647),COMPLETE
63,0.16073265671730042,2023-10-31 17:47:15.865211,2023-10-31 17:47:16.182448,0 days 00:00:00.317237,ReLU,ReLU,Leaky,58,23,23.0,11.0,0.03279595251429245,3,218,0.6744713082142455,0.0003355297256805755,98.08382415771484,tensor(0.1607),tensor(0.8513),COMPLETE
64,0.18777604401111603,2023-10-31 17:47:16.182867,2023-10-31 17:47:16.484193,0 days 00:00:00.301326,ReLU,ReLU,Tanh,51,21,20.0,8.0,0.013299417380805369,3,202,0.5714974237256613,0.0001965681726493224,125.56736956144634,tensor(0.1878),tensor(0.8327),COMPLETE
65,0.1903453916311264,2023-10-31 17:47:16.484580,2023-10-31 17:47:16.970444,0 days 00:00:00.485864,ReLU,ReLU,Sigmoid,62,22,15.0,6.0,0.003683523950237964,3,181,0.6224665125092682,0.0007764238917195193,507.78887625301587,tensor(0.1903),tensor(0.8267),COMPLETE
66,0.18551455438137054,2023-10-31 17:47:16.970823,2023-10-31 17:47:17.350343,0 days 00:00:00.379520,ReLU,Tanh,Leaky,55,24,23.0,17.0,0.007431741580760619,3,226,0.5023467661012263,0.0003978207085213308,191.98341524803033,tensor(0.1855),tensor(0.8314),COMPLETE
67,0.19341886043548584,2023-10-31 17:47:17.350738,2023-10-31 17:47:17.666952,0 days 00:00:00.316214,ReLU,ReLU,ReLU,34,7,20.0,13.0,0.02144907034103304,3,308,0.7608719722266345,0.0005877096225105952,119.56853120223336,tensor(0.1934),tensor(0.8195),COMPLETE
68,0.15076543390750885,2023-10-31 17:47:17.667316,2023-10-31 17:47:18.398180,0 days 00:00:00.730864,Tanh,Sigmoid,,39,13,21.0,,0.016617549368434723,2,329,0.6816423776185485,0.00025363867158307256,87.05313053837529,tensor(0.1508),tensor(0.8650),COMPLETE
69,0.18491534888744354,2023-10-31 17:47:18.398558,2023-10-31 17:47:18.862460,0 days 00:00:00.463902,Leaky,ReLU,Leaky,73,19,23.0,15.0,0.00981934428734479,3,414,0.5460546985174506,0.00017133212789697234,147.39498637635032,tensor(0.1849),tensor(0.8362),COMPLETE
70,0.1719886213541031,2023-10-31 17:47:18.862823,2023-10-31 17:47:19.044265,0 days 00:00:00.181442,ReLU,ReLU,Tanh,59,20,21.0,17.0,0.036406486760147565,3,252,0.6426505009540797,8.476592161458401e-05,91.52292667735706,tensor(0.1720),tensor(0.8263),COMPLETE
71,0.15476107597351074,2023-10-31 17:47:19.044656,2023-10-31 17:47:19.591014,0 days 00:00:00.546358,Tanh,Sigmoid,,43,13,21.0,,0.015958385697035987,2,338,0.6794941849453672,0.000250006850516412,83.748533703032,tensor(0.1548),tensor(0.8592),COMPLETE
72,0.14855998754501343,2023-10-31 17:47:19.591397,2023-10-31 17:47:20.200717,0 days 00:00:00.609320,Tanh,Sigmoid,,39,24,4.0,,0.024942044558876116,2,404,0.6839305938233239,0.0003595766971353866,90.081116994222,tensor(0.1486),tensor(0.8653),COMPLETE
73,0.17214149236679077,2023-10-31 17:47:20.201074,2023-10-31 17:47:20.586252,0 days 00:00:00.385178,Tanh,Sigmoid,,49,23,3.0,,0.02522617509585151,2,475,0.7977418558618573,0.0003930987752383868,87.4001096089681,tensor(0.1721),tensor(0.8532),COMPLETE
74,0.1877318173646927,2023-10-31 17:47:20.586631,2023-10-31 17:47:21.777593,0 days 00:00:01.190962,Tanh,Sigmoid,,29,24,6.0,,0.011400879094315563,2,414,0.6072727046862519,0.00115132154567561,132.81103782979852,tensor(0.1877),tensor(0.8370),COMPLETE
75,0.1708400398492813,2023-10-31 17:47:21.777962,2023-10-31 17:47:21.984810,0 days 00:00:00.206848,Tanh,Leaky,,38,23,11.0,,0.04733062285774255,2,396,0.6775047837029229,0.00012845949791329876,96.05722846984864,tensor(0.1708),tensor(0.8383),COMPLETE
76,0.17473354935646057,2023-10-31 17:47:21.985186,2023-10-31 17:47:22.305407,0 days 00:00:00.320221,Tanh,Leaky,Tanh,42,21,1.0,19.0,0.06585110725658817,3,451,0.7195091973042086,0.0005596642079578633,114.5478691890322,tensor(0.1747),tensor(0.8316),COMPLETE
77,0.22195886075496674,2023-10-31 17:47:22.305821,2023-10-31 17:47:22.724740,0 days 00:00:00.418919,Tanh,Leaky,Leaky,34,22,17.0,15.0,0.020291751356156136,3,203,0.5807421100284755,0.00036765736472651366,142.5975639147636,tensor(0.2220),tensor(0.8040),COMPLETE
78,0.16782428324222565,2023-10-31 17:47:22.725137,2023-10-31 17:47:23.475966,0 days 00:00:00.750829,Tanh,Leaky,,47,24,8.0,,0.006767910379624364,2,271,0.7523471340332043,0.0001870525562882767,83.05132060331457,tensor(0.1678),tensor(0.8489),COMPLETE
79,0.23720569908618927,2023-10-31 17:47:23.476344,2023-10-31 17:47:23.865820,0 days 00:00:00.389476,ReLU,Tanh,Tanh,14,23,19.0,23.0,0.02971084988907331,3,293,0.6264551467362334,1.650369867641147e-05,192.77365970611572,tensor(0.2372),tensor(0.7408),COMPLETE
80,0.19540339708328247,2023-10-31 17:47:23.866199,2023-10-31 17:47:25.005640,0 days 00:00:01.139441,Tanh,Sigmoid,Tanh,25,21,6.0,11.0,0.013085848300618902,3,241,0.5250283398691851,0.00023719110681487312,122.41680806996871,tensor(0.1954),tensor(0.8239),COMPLETE
81,0.14810247719287872,2023-10-31 17:47:25.006012,2023-10-31 17:47:25.723548,0 days 00:00:00.717536,Tanh,Sigmoid,,39,13,21.0,,0.016635150551269403,2,436,0.6664313730275159,0.00030779887907379035,80.27311911949745,tensor(0.1481),tensor(0.8639),COMPLETE
82,0.16082492470741272,2023-10-31 17:47:25.723913,2023-10-31 17:47:26.436371,0 days 00:00:00.712458,Tanh,Sigmoid,,39,15,22.0,,0.009360766598889418,2,427,0.6491040549006456,0.0002781193656689395,72.28538293838501,tensor(0.1608),tensor(0.8507),COMPLETE
83,0.19179068505764008,2023-10-31 17:47:26.436763,2023-10-31 17:47:27.169822,0 days 00:00:00.733059,Tanh,Sigmoid,,65,3,20.0,,0.018050772863978697,2,444,0.7548321118738304,0.0003707121171545868,97.90052406742888,tensor(0.1918),tensor(0.8315),COMPLETE
84,0.15612350404262543,2023-10-31 17:47:27.170188,2023-10-31 17:47:27.924704,0 days 00:00:00.754516,Tanh,Sigmoid,,28,9,24.0,,0.02398261324033738,2,400,0.7031302426955944,0.00014457512840424327,95.61278853877899,tensor(0.1561),tensor(0.8523),COMPLETE
85,0.15529756247997284,2023-10-31 17:47:27.925068,2023-10-31 17:47:28.563346,0 days 00:00:00.638278,Tanh,Leaky,,31,22,21.0,,0.008189334469372499,2,365,0.6632688057573992,0.0006866670398267877,71.05521392822266,tensor(0.1553),tensor(0.8550),COMPLETE
86,0.1967068314552307,2023-10-31 17:47:28.563712,2023-10-31 17:47:29.266740,0 days 00:00:00.703028,ReLU,ReLU,Leaky,22,11,23.0,19.0,0.01323454759682237,3,221,0.5904330478340415,0.00048437717720112603,110.68197079922291,tensor(0.1967),tensor(0.8117),COMPLETE
