Id, Name, Cites, Documents
57751298700, Yap Kai Lin, 2, 1
57226281627,  Kong Ianne, 17, 5
57478952000,  Abdul Kalam Saleena Lejaniya, 7, 2
55511544300,  Pui Liew Phing, 71, 10
55986714700, Akalin Gulen Oytun, 19, 1
57222544786,  Oztuna Taner Oznur, 19, 1
56671058100,  Taner Tolga, 19, 1
57382966600, Park Kyu Jin, 11, 1
35337074400,  Lee Ji-Soo, 11, 1
57382966700,  Jo Hae Jee, 11, 1
54585544100,  Kim Eun Suh, 11, 1
35311094400,  Lee Hyeon Gyu, 11, 1
58022682500, Guevara Margarita María Saldívar, 0, 1
42161985500,  Saucedo-Rivalcoba Verónica, 0, 1
6505952522,  Rivera-Armenta José Luis, 0, 1
56426426200,  Elvira-Torales Laura Inés, 0, 1
57204927959, Ghosh Tabli, 59, 6
14071664200,  Katiyar Vimal, 74, 7
56724773300, Yang Shuo, 2, 1
19934697500,  Zhang Shuangling, 2, 1
57451050100,  Qu Zhongfeng, 2, 1
57221326567,  Xiu Tiantian, 2, 1
57221336346,  Hu Yue, 2, 1
57451222300,  Chen Chengwang, 2, 1
57450327200,  Lv Ning, 2, 1
56575240400, Tang Yuyi, 0, 1
57271554100,  Chen Xifeng, 0, 1
57219473739,  Yao Hui, 0, 1
57215881684,  Xie Jun, 0, 1
38862988900,  Shi Wenzheng, 0, 1
57198798361,  Lu Ying, 0, 1
37110538700,  Deng Shanggui, 54, 4
37021982300,  Tao Ningping, 47, 3
14319453100,  Xu Changhua, 0, 1
56401197600, Ashfaq Jaweria, 17, 2
57217960274,  Channa Iftikhar Ahmed, 17, 2
57222141148,  Shaikh Asif Ahmed, 14, 1
57195402763,  Chandio Ali Dad, 17, 2
57208166652,  Shah Aqeel Ahmed, 14, 1
57431983900,  Bughio Bushra, 14, 1
57431585800,  Birmahani Ashfaque, 14, 1
56845206800,  Alshehri Sultan, 14, 1
58146116200,  Ghoneim Mohammed M., 14, 1
57325058200,  Gao Shan, 28, 1
7401517293,  Lim Loong-Tak, 206, 3
57201269202, Yong Huimin, 65, 2
57211677867,  Hu Huixia, 5, 1
57211270896,  Yun Dawei, 5, 1
16202815800,  Jin Changhai, 65, 2
55851928000,  Liu Jun, 65, 2
57208740826, Łupina Katarzyna, 150, 10
7007157515,  Lis Magdalena, 16, 1
