number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
74,0.3438073694705963,2023-09-05 14:20:56.104411,2023-09-05 14:21:02.570713,0 days 00:00:06.466302,ReLU,Leaky,Tanh,,65,22,2.0,10.0,,0.00048730064722241447,3,424,0.45829281694150553,0.000204538839315789,448.8544796244303,COMPLETE
75,0.2817530632019043,2023-09-05 14:21:02.570989,2023-09-05 14:21:05.184951,0 days 00:00:02.613962,Leaky,Leaky,ReLU,,59,20,18.0,13.0,,0.0013060094923227805,3,375,0.6012839011686602,4.233978038663072e-05,112.45508200546791,COMPLETE
76,0.2964037358760834,2023-09-05 14:21:05.185230,2023-09-05 14:21:06.963652,0 days 00:00:01.778422,Leaky,Leaky,ReLU,,69,20,18.0,13.0,,0.001762412867619314,3,349,0.6807405435237628,0.00012603149794745928,122.65129910982571,COMPLETE
77,0.2790212035179138,2023-09-05 14:21:06.963930,2023-09-05 14:21:08.669810,0 days 00:00:01.705880,Leaky,Tanh,ReLU,Tanh,60,17,19.0,12.0,5.0,0.002604710818771126,4,379,0.6178859125751798,2.683754899406521e-05,125.21431239201472,COMPLETE
78,0.28094545006752014,2023-09-05 14:21:08.670096,2023-09-05 14:21:10.559004,0 days 00:00:01.888908,Leaky,Sigmoid,ReLU,Tanh,66,17,21.0,12.0,4.0,0.0027374241780962847,4,388,0.5796677737410922,2.5294778335720337e-05,113.97077043750618,COMPLETE
79,0.3106660842895508,2023-09-05 14:21:10.559346,2023-09-05 14:21:12.541730,0 days 00:00:01.982384,Leaky,Sigmoid,ReLU,Tanh,60,17,21.0,9.0,5.0,0.002801044684095859,4,380,0.5845890318084179,1.7296441419760534e-05,146.47601631360178,COMPLETE
80,0.2890865206718445,2023-09-05 14:21:12.542026,2023-09-05 14:21:14.422858,0 days 00:00:01.880832,Leaky,Tanh,ReLU,Tanh,66,13,23.0,11.0,5.0,0.0045450483030454476,4,454,0.6193696320941494,1.558779543177156e-05,103.50973026172535,COMPLETE
81,0.6912798285484314,2023-09-05 14:21:14.423139,2023-09-05 14:21:17.403324,0 days 00:00:02.980185,Leaky,Sigmoid,ReLU,Tanh,63,18,20.0,12.0,1.0,0.0028636801465375538,4,397,0.5209190800871678,2.5597040062450372e-05,143.85003719907817,COMPLETE
82,0.2811407148838043,2023-09-05 14:21:17.403663,2023-09-05 14:21:21.776156,0 days 00:00:04.372493,Leaky,Sigmoid,ReLU,Tanh,59,17,22.0,15.0,5.0,0.001870285997208661,4,337,0.5597185855043745,3.2447596834987576e-05,113.52871196920222,COMPLETE
83,0.29988300800323486,2023-09-05 14:21:21.776480,2023-09-05 14:21:24.605904,0 days 00:00:02.829424,Leaky,Sigmoid,ReLU,Tanh,57,17,22.0,15.0,5.0,0.001924002311170879,4,365,0.5541447005593821,3.148808308813421e-05,113.2215062734243,COMPLETE
84,0.3109835982322693,2023-09-05 14:21:24.606205,2023-09-05 14:21:29.004291,0 days 00:00:04.398086,Leaky,Sigmoid,ReLU,Tanh,59,14,19.0,14.0,8.0,0.0014710039225992292,4,339,0.6405317402005196,2.396940119182305e-05,121.49420146326865,COMPLETE
85,0.3159691393375397,2023-09-05 14:21:29.004584,2023-09-05 14:21:30.536710,0 days 00:00:01.532126,Leaky,Sigmoid,ReLU,Tanh,71,15,22.0,15.0,4.0,0.002431467308080518,4,381,0.6009854191066226,3.249150462144067e-05,129.9016868004432,COMPLETE
86,0.28189462423324585,2023-09-05 14:21:30.537004,2023-09-05 14:21:35.494958,0 days 00:00:04.957954,Leaky,Sigmoid,ReLU,Tanh,67,17,23.0,16.0,11.0,0.0012778638081284125,4,327,0.5754519977656327,1.471708414003969e-05,111.56013384052352,COMPLETE
87,0.30567049980163574,2023-09-05 14:21:35.495238,2023-09-05 14:21:39.230114,0 days 00:00:03.734876,Leaky,Sigmoid,ReLU,Tanh,75,16,23.0,17.0,11.0,0.0013614590796588528,4,312,0.5746545211523263,1.404044722477422e-05,114.4737330118815,COMPLETE
88,0.28487351536750793,2023-09-05 14:21:39.230389,2023-09-05 14:21:41.566101,0 days 00:00:02.335712,Leaky,Sigmoid,ReLU,Tanh,68,17,21.0,16.0,7.0,0.0019186986056738528,4,326,0.48318195452124174,2.0653719128447858e-05,94.89545197046104,COMPLETE
89,0.2998674511909485,2023-09-05 14:21:41.566384,2023-09-05 14:21:44.512185,0 days 00:00:02.945801,Leaky,Sigmoid,ReLU,Tanh,56,17,20.0,18.0,3.0,0.002685751965724985,4,353,0.5465182676478004,1.2577913479772784e-05,122137.89026692709,COMPLETE
90,0.28610819578170776,2023-09-05 14:21:44.512457,2023-09-05 14:21:47.433948,0 days 00:00:02.921491,Leaky,Sigmoid,ReLU,Tanh,51,16,24.0,16.0,6.0,0.0035130297669989253,4,418,0.6436709568919284,1.0073630870111654e-05,154.94054117510396,COMPLETE
91,0.30178987979888916,2023-09-05 14:21:47.434226,2023-09-05 14:21:50.684679,0 days 00:00:03.250453,Leaky,Sigmoid,Leaky,Tanh,61,18,22.0,12.0,10.0,0.0011815501915099565,4,333,0.5856189656692975,1.6426522905443163e-05,150.21587417717268,COMPLETE
92,0.30386456847190857,2023-09-05 14:21:50.684969,2023-09-05 14:21:53.914487,0 days 00:00:03.229518,Leaky,Sigmoid,Sigmoid,Tanh,66,19,19.0,10.0,13.0,0.0021011638583985403,4,392,0.6707264147630848,2.252757274860951e-05,122.57966013423732,COMPLETE
93,0.3672042787075043,2023-09-05 14:21:53.914767,2023-09-05 14:21:56.535290,0 days 00:00:02.620523,Leaky,Tanh,ReLU,Tanh,73,15,21.0,14.0,2.0,0.0014240368394343895,4,369,0.6107826828039385,2.713336577073384e-05,131.08534655077705,COMPLETE
94,0.29002583026885986,2023-09-05 14:21:56.535570,2023-09-05 14:22:00.110094,0 days 00:00:03.574524,Leaky,Tanh,ReLU,Tanh,64,17,23.0,12.0,7.0,0.0006503512046908994,4,346,0.5006085371566656,4.46000991429029e-05,134.42357236489482,COMPLETE
95,0.2952216863632202,2023-09-05 14:22:00.110373,2023-09-05 14:22:04.845702,0 days 00:00:04.735329,Leaky,Sigmoid,ReLU,Tanh,59,18,17.0,19.0,9.0,0.0010182928918001468,4,318,0.5564458009511157,1.8340563613832936e-05,127.85767306113729,COMPLETE
96,0.7386723756790161,2023-09-05 14:22:04.845987,2023-09-05 14:22:06.374599,0 days 00:00:01.528612,Leaky,Tanh,ReLU,Leaky,70,20,22.0,2.0,1.0,0.0019149569292996893,4,295,0.6158355464473578,1.212269859554765e-05,128.46472919170674,COMPLETE
97,0.26748019456863403,2023-09-05 14:22:06.374881,2023-09-05 14:22:08.038206,0 days 00:00:01.663325,Leaky,Tanh,,,63,14,12.0,,,0.0064388515896536,2,426,0.7103476937167205,6.100351232090163e-05,98.19393705710387,COMPLETE
98,0.281067818403244,2023-09-05 14:22:08.038467,2023-09-05 14:22:10.117220,0 days 00:00:02.078753,Leaky,Tanh,,,55,10,20.0,,,0.0069027901354338115,2,430,0.6980852442722495,3.357376870954732e-05,118.81463190714518,COMPLETE
