number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
104,0.20113252103328705,2023-09-03 09:55:08.191472,2023-09-03 09:55:17.407495,0 days 00:00:09.216023,ReLU,Leaky,,4,16,13.0,,0.00279760282390179,2,80,0.6892675019680463,2.0764102058773206e-05,COMPLETE
105,0.17277590930461884,2023-09-03 09:55:17.407773,2023-09-03 09:55:38.321567,0 days 00:00:20.913794,ReLU,Leaky,,2,18,11.0,,0.00449403225325547,2,80,0.7996441000028847,1.6998880503045894e-05,COMPLETE
106,0.19337964057922363,2023-09-03 09:55:38.321849,2023-09-03 09:55:58.219682,0 days 00:00:19.897833,ReLU,Leaky,,2,21,11.0,,0.00424411790373809,2,80,0.7544927207998884,1.6754324763402483e-05,COMPLETE
107,0.17564789950847626,2023-09-03 09:55:58.219959,2023-09-03 09:56:18.992727,0 days 00:00:20.772768,ReLU,Leaky,,2,18,10.0,,0.005117358378357099,2,80,0.7953358711119868,2.86555626895467e-05,COMPLETE
108,0.22635014355182648,2023-09-03 09:56:18.993020,2023-09-03 09:56:40.074621,0 days 00:00:21.081601,Sigmoid,Leaky,,2,18,9.0,,0.004846488021621689,2,80,0.7993910844893132,2.958843576884015e-05,COMPLETE
109,0.15465353429317474,2023-09-03 09:56:40.074897,2023-09-03 09:56:42.223551,0 days 00:00:02.148654,ReLU,Leaky,,10,19,11.0,,0.005895225070989688,2,40,0.7460788434941606,3.966605241127388e-05,COMPLETE
110,0.33731675148010254,2023-09-03 09:56:42.223835,2023-09-03 09:56:44.882498,0 days 00:00:02.658663,ReLU,Leaky,Sigmoid,10,1,11.0,14.0,0.011485034798510296,3,40,0.773825395118219,4.450254890068515e-05,COMPLETE
111,0.18724273145198822,2023-09-03 09:56:44.882790,2023-09-03 09:56:49.088483,0 days 00:00:04.205693,ReLU,Leaky,,10,19,10.0,,0.006217798224870074,2,80,0.7442032275494851,6.977097127831586e-05,COMPLETE
112,0.1830357313156128,2023-09-03 09:56:49.088759,2023-09-03 09:56:51.389904,0 days 00:00:02.301145,ReLU,Leaky,,10,19,12.0,,0.00402630391461795,2,40,0.7994351186144549,3.593049406815469e-05,COMPLETE
113,0.16552546620368958,2023-09-03 09:56:51.390181,2023-09-03 09:56:53.919725,0 days 00:00:02.529544,ReLU,Leaky,,8,18,7.0,,0.004815360153294811,2,40,0.7251590889033369,2.8634409474760144e-05,COMPLETE
